Matrix size (N),Eigenvalue 1,Eigenvalue 2,Eigenvalue 3,Eigenvalue 4,Eigenvalue 5,Eigenvalue 6,Eigenvalue 7,Eigenvalue 8,Eigenvalue 9,Eigenvalue 10
15,-4.760189324496271,-4.506506934816914,-4.357468621670713,-4.262330665398398,-4.192026485713951,-4.133042414550911,-4.078246028558621,-4.023174318407354,-3.9643811376605798,-3.8984859784635706
16,-4.843080480020237,-4.5901453483960974,-4.442305026913577,-4.348884538405242,-4.280905507879462,-4.224979746620227,-4.17415902588885,-4.1242579444679555,-4.072264124804682,-4.015510012423624
17,-4.921003360778182,-4.668688891474197,-4.521840001606337,-4.429833284665332,-4.363754186223356,-4.31030293911205,-4.2626575787853,-4.2168167515518435,-4.170043760714455,-4.120100053521304
18,-4.994520982741948,-4.742727693973817,-4.596708805998217,-4.505880428378626,-4.441375270829025,-4.389957531560276,-4.344894492385527,-4.302311386106989,-4.259654826869067,-4.214959591740979
19,-5.064105617621454,-4.8127542407753285,-4.6674373169727,-4.577601801888433,-4.514416123670052,-4.4646918071512385,-4.421760866499747,-4.38183828871001,-4.342497124758487,-4.301954335101089
20,-5.13015733269055,-4.879183919815176,-4.734466072220074,-4.645475221443263,-4.583407273150317,-4.5351094587338885,-4.493961793627148,-4.456244555011663,-4.41962068480994,-4.3824330943252585
21,-5.193018018361177,-4.942370406913939,-4.7981679897801985,-4.70990190444252,-4.648789530431085,-4.601705504116314,-4.56206612365997,-4.526200211702746,-4.491836269080413,-4.457406954001363
22,-5.252982162224956,-5.002617376610684,-4.858861674517782,-4.771222266908101,-4.710933553293957,-4.66489152476666,-4.626540368132366,-4.592245691341162,-4.559784860797597,-4.527656131318175
23,-5.310305236027551,-5.060187548283183,-4.916821577382257,-4.82972779910222,-4.770154274742481,-4.725013862137554,-4.687772504458188,-4.6548241490997295,-4.623983277304196,-4.593797140782311
24,-5.365210304203238,-5.115309766539634,-4.972285866540748,-4.885670143162462,-4.82672175019551,-4.782367030265832,-4.746089124321832,-4.714304133843106,-4.684855197126057,-4.656326856398493
25,-5.4178932884041915,-5.168184608743791,-5.0254626061541865,-4.939268135339441,-4.880869450752419,-4.837203794918434,-4.801768064942156,-4.770995907534616,-4.742752910647196,-4.715652465924457
26,-5.468527203901017,-5.2189888742348876,-5.076534664301318,-4.990713341839361,-4.932800699069174,-4.889742877401354,-4.855047895231562,-4.8251634571925,-4.797972966023822,-4.772112456609709
27,-5.517265599462594,-5.267879213143086,-5.1256636531468285,-5.040174462341462,-4.982693730961276,-4.940174932063494,-4.906135162713561,-4.877033510111952,-4.850767677693123,-4.825991701546544
28,-5.564245374539571,-5.314995086377691,-5.172993122960088,-5.087800870528506,-5.030705723810044,-4.988667247002303,-4.955210014168315,-4.926802416900544,-4.901353758243069,-4.877532549972097
29,-5.609589104080536,-5.360461199536805,-5.218651174362661,-5.133725488495717,-5.076976037625519,-5.035367485541323,-5.002430614197814,-4.974641487125922,-4.9499189048866254,-4.9269431405224235
30,-5.653406971272464,-5.40438951955585,-5.262752612058207,-5.178067141235919,-5.121628848177697,-5.080406696634648,-5.047936661344225,-5.0207011819982865,-4.996626902460216,-4.974403741169864
31,-5.695798384225943,-5.446880957444441,-5.305400733938975,-5.220932500783366,-5.164775305451633,-5.123901761291496,-5.091852216657727,-5.065114449364131,-5.041621631301105,-5.020071658556242
32,-5.736853337457527,-5.488026781013762,-5.346688827456863,-5.262417703825122,-5.206515317381906,-5.165957398299336,-5.13428800209906,-5.107999405792777,-5.085030253826276,-5.0640850918983045
33,-5.776653564897525,-5.527909808890617,-5.38670142925003,-5.30260970652328,-5.2469390352541065,-5.206667822557334,-5.175343284987262,-5.149461515301701,-5.1269657762209455,-5.106566195732194
34,-5.8152735213822995,-5.56660542435298,-5.425515391791623,-5.341587426951648,-5.286128098888897,-5.2461181262772225,-5.215107435826924,-5.189595375311559,-5.167529128692173,-5.147623541073118
35,-5.852781222500971,-5.6041824415757855,-5.463200791600975,-5.379422713777673,-5.324156687564935,-5.284385437540259,-5.253661226257808,-5.228486192989473,-5.206810870168611,-5.187354113208508
36,-5.889238966417002,-5.640703848852337,-5.499821706518111,-5.4161811723553015,-5.361092411767914,-5.321539898417845,-5.2910779176252,-5.26621101486679,-5.244892597073867,-5.225844948279424
37,-5.9247039579019685,-5.676227449557443,-5.5354368842947235,-5.4519228727841975,-5.396997074654551,-5.357645495528666,-5.3274241803120885,-5.302839758325726,-5.281848116416391,-5.263174485312847
38,-5.959228848782976,-5.71080641695099,-5.570100320064816,-5.486702959692072,-5.43192732515905,-5.3927607693722805,-5.362760874512824,-5.338436082605523,-5.317744429859098,-5.299413691888133
39,-5.992862208924849,-5.7444897766343255,-5.603861757508761,-5.520572179847172,-5.4659352209534005,-5.426939423145775,-5.397143717237449,-5.373058128529356,-5.352642564244823,-5.33462700795814
40,-6.025648937739292,-5.777322827901885,-5.636767125329526,-5.553577340640937,-5.499068716003185,-5.460230848027389,-5.43062385490558,-5.406759150446239,-5.386598277155229,-5.368873142471831
41,-6.057630624844207,-5.809347512509117,-5.668858919071125,-5.5857617097519086,-5.531372084694472,-5.49268057810731,-5.463248357569611,-5.439588058901261,-5.419662659532916,-5.402205749871754
42,-6.088845867858705,-5.840602738999903,-5.700176535991117,-5.617165365443366,-5.562886291923654,-5.524330686427696,-5.495060646999191,-5.471589888924521,-5.451882653061781,-5.434674007878643
43,-6.119330553017281,-5.871124668743398,-5.730756570127408,-5.647825504009629,-5.593649317551297,-5.555220130877842,-5.526100869731042,-5.502806205919115,-5.483301496805772,-5.466323113422913
44,-6.149118102768125,-5.900946969002168,-5.760633072828598,-5.677776711286267,-5.623696441955914,-5.585385057525389,-5.556406222500512,-5.5332754590209055,-5.5139591141542965,-5.497194710770925
45,-6.178239696716074,-5.930101037232975,-5.789837783750516,-5.707051202326101,-5.653060497510284,-5.614859067664446,-5.586011238393436,-5.5630332900997415,-5.543892449911435,-5.527327262506255
46,-6.206724468017394,-5.958616201349518,-5.81840033584043,-5.735679034347948,-5.681772091753574,-5.643673453416055,-5.614948038312822,-5.592112804755677,-5.573135764805082,-5.556756372296663
47,-6.234599678705827,-5.986519897254327,-5.846348438428293,-5.763688296151372,-5.7098598053468255,-5.671857406729651,-5.643246553197706,-5.620544811011074,-5.601720894060483,-5.585515067580841
48,-6.261890876297186,-6.013837829110762,-5.873708040799902,-5.791105276975501,-5.7373503681922955,-5.699438204767414,-5.670934721186483,-5.648358030113508,-5.629677475067668,-5.613634047022262
49,-6.2886220349997135,-6.040594111582633,-5.900503477973123,-5.8179546178576205,-5.764268817147646,-5.72644137530239,-5.698038662487602,-5.675579283763691,-5.657033148409304,-5.641141898906125
50,-6.314815681775455,-6.066811398829045,-5.926757602744977,-5.844259446858608,-5.79063863657788,-5.752890844540857,-5.724582835720668,-5.70223366000111,-5.683813736639602,-5.668065293757574
51,-6.3404930115642255,-6.092510999990747,-5.952491903722362,-5.870041501189105,-5.816481885145506,-5.77880906922196,-5.750590177167987,-5.7283446616760365,-5.710043402315452,-5.694429155513878
52,-6.365673989214169,-6.117712983684875,-5.9777266119147185,-5.895321236783732,-5.841819309433147,-5.804217155746443,-5.776082226234081,-5.75393433875651,-5.735744790047712,-5.720256813527345
53,-6.390377443356745,-6.142436272672279,-6.002480797339953,-5.920117927582148,-5.866670446550896,-5.829134966911892,-5.8010792371142985,-5.779023407427828,-5.760939152493266,-5.745570137911079
54,-6.414621150998736,-6.166698729662571,-6.026772456375961,-5.944449754995478,-5.891053716978718,-5.853581218642251,-5.825600280860701,-5.8036313565186655,-5.78564646407972,-5.77038966119632
55,-6.438421914649829,-6.190517234784141,-6.050618590978912,-5.968333889388271,-5.914986508387945,-5.877573567062283,-5.8496633359704795,-5.827776544037993,-5.809885522932834,-5.7947346868375815
56,-6.461795632068881,-6.213907756599187,-6.074035280615955,-5.991786563838881,-5.93848525184514,-5.9011286876928954,-5.873285371181232,-5.851476283776818,-5.833674042686018,-5.8186233869575075
57,-6.484757359830074,-6.236885416788089,-6.097037748404653,-6.014823141503465,-5.9615654909673275,-5.9242623473720295,-5.896482420683555,-5.874746923958325,-5.857028735455695,-5.842072890600405
58,-6.507321372277909,-6.259464548765501,-6.11964042033706,-6.037458176688376,-5.984241945366193,-5.946989469140664,-5.919269651756581,-5.897603918608175,-5.879965387047619,-5.865099363395415
59,-6.529501213785007,-6.281658751771849,-6.1418569806774155,-6.059705470745984,-6.006528567628101,-5.969324192244479,-5.941661426811549,-5.92006189213483,-5.9024989247592465,-5.887718079295008
60,-6.5513097487272125,-6.303480939677681,-6.163700421439649,-6.081578123653026,-6.028438596449888,-5.991279925955955,-5.963671359847402,-5.94213469831877,-5.9246434796749075,-5.909943486050043
61,-6.572759206122109,-6.324943387492879,-6.185183088977188,-6.103088580587918,-6.049984604000283,-6.0128693996570535,-5.98531236775141,-5.963835474273921,-5.946412442776529,-5.93178926461138
62,-6.593861220439052,-6.346057771519888,-6.2063167255882234,-6.124248674840313,-6.07117854105275,-6.034104708066939,-6.006596717737944,-5.985176688987783,-5.967818516268833,-5.953268383347787
63,-6.614626869081477,-6.366835208695361,-6.227112509031127,-6.14506966777979,-6.0920317766444265,-6.054997353062372,-6.027536070309878,-6.006170188870071,-5.9888737607147995,-5.974393147094634
64,-6.6350667089102116,-6.387286290931166,-6.2475810871374255,-6.1655622850353025,-6.112555135667858,-6.075558282046322,-6.048141519239358,-6.026827238703022,-6.009589638062352,-5.995175242346404
65,-6.655190806282262,-6.407421118408591,-6.267732612162426,-6.185736749889496,-6.132758933589429,-6.095797923175086,-6.068423627437765,-6.047158559072681,-6.0299770508764965,-6.015625778791077
66,-6.67500876884147,-6.427249329453437,-6.287576769865465,-6.205602814346584,-6.152653007174042,-6.115726217872542,-6.088392460847743,-6.067174361958512,-6.050046378575372,-6.035755326808738
67,-6.694529771847404,-6.446780127841267,-6.307122808600114,-6.225169787880042,-6.1722467443039175,-6.135352650586097,-6.10805761948228,-6.08688438180816,-6.06980751093461,-6.055573952364815
68,-6.713762585020781,-6.466022308932866,-6.326379564656897,-6.244446563571157,-6.191549111296929,-6.154686276895928,-6.127428265656457,-6.106297905827667,-6.089269878355027,-6.075091249118296
69,-6.732715593898255,-6.484984283329442,-6.345355487184848,-6.263441643013759,-6.2105686770877435,-6.173735748991825,-6.146513150384313,-6.12542380054207,-6.108442480378579,-6.094316367691119
70,-6.751396824000761,-6.503674098871196,-6.3640586595403414,-6.282163158583819,-6.22931363656186,-6.192509339094322,-6.165320638129859,-6.144270537635936,-6.127333911965619,-6.113258042761624
71,-6.769813960463018,-6.522099462260296,-6.382496820731609,-6.300618894760735,-6.24779183317144,-6.21101496190703,-6.183858728597453,-6.162846216756326,-6.14595238721368,-6.131924618641112
72,-6.7879743655208795,-6.540267756186225,-6.400677384874599,-6.318816307872832,-6.266010777254542,-6.2292601946580355,-6.202135078980367,-6.181158587418355,-6.164305762127759,-6.15032407177498
73,-6.805885100859552,-6.558186059051848,-6.418607458660834,-6.336762544296556,-6.283977665684201,-6.247252296525228,-6.220157021904016,-6.199215068678773,-6.182401554980966,-6.168464033069004
74,-6.823552938103525,-6.575861160022446,-6.4362938581725,-6.354464456814899,-6.301699398693497,-6.264998225536595,-6.2379315849955645,-6.217022768715863,-6.200246965688219,-6.1863518068836445
75,-6.840984377001833,-6.593299576199154,-6.453743125324764,-6.3719286216346855,-6.319182596530162,-6.282504655987269,-6.2554655064707925,-6.234588500650761,-6.217848893875075,-6.203994390365062
76,-6.858185662230239,-6.610507565333879,-6.470961541157142,-6.389161352046695,-6.336433613948276,-6.299777993104869,-6.2727652517934835,-6.2519188002088395,-6.235213955317498,-6.221398490333576
77,-6.875162791685808,-6.627491140468406,-6.487955140604498,-6.406168712819151,-6.353458553648245,-6.3168243873960925,-6.289837028094734,-6.269019939530427,-6.252348497250416,-6.2385705389307775
78,-6.891921531988266,-6.644256081811197,-6.504729724680056,-6.422956533289579,-6.370263281907102,-6.333649748328279,-6.306686797107678,-6.285897941932537,-6.269258613481786,-6.2555167093432855
79,-6.908467432647246,-6.66080794926063,-6.521290871984613,-6.439530418838955,-6.3868534366270975,-6.35025975673087,-6.323320288636618,-6.302558594889049,-6.2859501568452005,-6.272242928683023
80,-6.924805830465108,-6.677152093730045,-6.5376439514230995,-6.455895762302407,-6.403234443881553,-6.366659876051365,-6.339743013050806,-6.319007461973724,-6.302428752431828,-6.288754892004226
81,-6.940941867618023,-6.693293666011926,-6.553794131040965,-6.4720577552507015,-6.419411524309244,-6.382855364040012,-6.355960271166139,-6.335249894424356,-6.3186998095896465,-6.305058073467139
82,-6.956880494747118,-6.7092376280914365,-6.5697463883692295,-6.488021397572724,-6.435389705499276,-6.398851282536996,-6.371977165142714,-6.3512910424394,-6.334768531910847,-6.321157738359846
83,-6.9726264850910935,-6.724988762015461,-6.585505520205075,-6.503791506054027,-6.451173830480595,-6.4146525071964735,-6.3877986094528625,-6.367135863937465,-6.350639929068876,-6.337058953484977
84,-6.988184439208631,-6.74055167810914,-6.601076150726936,-6.5193727241863595,-6.466768568094871,-6.430263736502389,-6.4034293382454095,-6.382789135656175,-6.366318825057927,-6.352766597133226
85,-7.0035587956048415,-6.755930822441524,-6.616462740444477,-6.534769530364608,-6.4821784196919685,-6.445689500284182,-6.41887391529882,-6.3982554603524875,-6.3818098679212385,-6.368285367973313
86,-7.018753836603434,-6.771130486308736,-6.631669591708388,-6.549986244982359,-6.497407727382958,-6.460934168152135,-6.43413674179743,-6.413539276306223,-6.397117538334873,-6.383619794492503
87,-7.033773696712469,-6.786154812738242,-6.646700859522522,-6.56502703857226,-6.512460682225036,-6.476001956155364,-6.449222064050561,-6.428644865005295,-6.412246157131962,-6.398774242789363
88,-7.048622371442173,-6.801007801126271,-6.661560555277405,-6.579895937649589,-6.527341331012456,-6.49089693433067,-6.464133980750103,-6.443576357547741,-6.427199893797935,-6.413752924386272
89,-7.063303717453183,-6.815693317334031,-6.676252554171173,-6.594596832278431,-6.542053581579479,-6.505623033792908,-6.47887644933528,-6.458337743058182,-6.441982772433226,-6.4285599035488925
90,-7.077821464989133,-6.830215096650638,-6.690780602824323,-6.609133481397708,-6.556601211094681,-6.520184052402348,-6.4934532931335935,-6.472932873496752,-6.456598678739653,-6.443199104183259
91,-7.092179218535821,-6.844576751765639,-6.70514832148623,-6.623509519869005,-6.570987869325332,-6.534583661079514,-6.507868207004625,-6.4873654718482685,-6.471051367120577,-6.457674316263308
92,-7.106380467907617,-6.858781776383058,-6.719359213476799,-6.6377284619972325,-6.585217087836427,-6.548825409100765,-6.522124762381087,-6.501639136090729,-6.485344465507846,-6.471989200872294
93,-7.120428588888618,-6.872833550557512,-6.733416667769666,-6.6517937087660695,-6.599292280937119,-6.562912729860576,-6.536226414700229,-6.515757345851758,-6.499481481916622,-6.486147298768543
94,-7.134326847602563,-6.886735347335893,-6.747323964494037,-6.665708550912712,-6.613216754068003,-6.576848945494484,-6.550176505786779,-6.529723466461132,-6.513465808613053,-6.500152031624419
95,-7.148078406694694,-6.900490334876473,-6.761084279714525,-6.679476175583406,-6.6269937070396265,-6.590637271729861,-6.5639782707363725,-6.543540755771147,-6.527300728596799,-6.514006711614457
96,-7.161686333712839,-6.914101582269604,-6.774700690204563,-6.693099668142622,-6.640626238771142,-6.604280823013335,-6.577634842228218,-6.557212366501173,-6.540989418862816,-6.527714542368179
97,-7.175153596368832,-6.927572065087678,-6.788176176274688,-6.7065820190804395,-6.654117350889971,-6.617782615319797,-6.591149252949045,-6.57074135264109,-6.554534955982209,-6.541278626560971
98,-7.188483073226069,-6.9409046634073865,-6.801513627191009,-6.719926126141794,-6.667469952117397,-6.631145571504283,-6.604524442775072,-6.584130672554066,-6.567940319778879,-6.554701968382306
99,-7.201677556173142,-6.954102173937985,-6.814715844158313,-6.733134798314565,-6.680686863174283,-6.644372525188904,-6.617763260433269,-6.597383192642755,-6.581208397363672,-6.567987477719529
100,-7.214739751168867,-6.967167306409198,-6.827785542868166,-6.746210760740193,-6.6937708179462705,-6.6574662229241195,-6.630868467762397,-6.6105016915795165,-6.594341987225006,-6.581137975331663
101,-7.227672284093068,-6.980102692107696,-6.840725359646149,-6.75915665615762,-6.7067244703609115,-6.670429330041482,-6.64384274346459,-6.623488864937636,-6.607343803096837,-6.594156195169773
102,-7.2404777052214815,-6.9929108817176235,-6.853537851966751,-6.7719750492485025,-6.719550393372864,-6.683264430826256,-6.656688685623378,-6.6363473262689485,-6.620216476185547,-6.607044789293542
103,-7.25315849112364,-7.005594354656449,-6.866225502403008,-6.784668429530759,-6.732251085797925,-6.695974035303814,-6.669408816141111,-6.649079611910499,-6.6329625601298945,-6.619806329024943
104,-7.265717039076962,-7.018155514923047,-6.878790721541803,-6.797239214517317,-6.744828973141467,-6.708560578433164,-6.682005583371239,-6.661688184101466,-6.6455845322393206,-6.632443310779553
105,-7.27815569019176,-7.030596701203455,-6.891235850795631,-6.809689752086423,-6.757286410908586,-6.721026425939698,-6.694481363677617,-6.674175432922344,-6.658084798367094,-6.64495815672245
106,-7.290476705600847,-7.0429201836066015,-6.903563165182063,-6.822022323085796,-6.769625688076587,-6.733373876014713,-6.706838466467239,-6.686543679823459,-6.67046569401968,-6.657353219098665
107,-7.302682293640652,-7.055128168448719,-6.915774876224285,-6.83423914357778,-6.781849027861484,-6.7456051605158995,-6.719079133921344,-6.6987951800522465,-6.682729488333904,-6.669630781947668
108,-7.314774596596822,-7.0672228024595665,-6.927873132729967,-6.84634236843805,-6.793958591965279,-6.757722450022244,-6.7312055465011165,-6.710932124934272,-6.694878386260711,-6.681793065943552
109,-7.326755697541514,-7.079206170665978,-6.93986002443285,-6.858334093146489,-6.80595648231664,-6.76972785380672,-6.743219822959999,-6.722956644333332,-6.706914529885131,-6.693842226256571
110,-7.338627621551243,-7.091080302265867,-6.951737584615365,-6.870216354545443,-6.817844742155658,-6.781623423171976,-6.7551240236554095,-6.7348708097439625,-6.718840002577263,-6.7057803603808885
111,-7.350392342593692,-7.10284717173405,-6.963507789640516,-6.881991135502718,-6.8296253608387145,-6.793411153838284,-6.766920153754413,-6.7466766353190435,-6.730656829482914,-6.717609506404182
112,-7.362051781186046,-7.114508698468545,-6.975172564050595,-6.89366036357598,-6.841300270332884,-6.805092987369,-6.778610162129639,-6.758376079662189,-6.74236698140222,-6.729331646396112
113,-7.373607799669429,-7.12606675336918,-6.986733780974477,-6.905225916649363,-6.8528713555395475,-6.8166708120248565,-6.790195945544156,-6.769971049842906,-6.753972374845923,-6.740948710071768
114,-7.385062222427213,-7.1375231567996344,-6.99819326381274,-6.916689622461665,-6.864340447784822,-6.828146468470443,-6.8016793519662775,-6.7814634012145225,-6.765474875269246,-6.75246257273482
115,-7.396416815754804,-7.148879682048988,-7.009552788086741,-6.928053260527157,-6.875709332179906,-6.839521746185244,-6.81306217792687,-6.792854939875279,-6.77687629867805,-6.763875061445421
116,-7.407673310461936,-7.160138054453152,-7.020814084154689,-6.939318563617781,-6.886979748445163,-6.850798390111693,-6.824346175827136,-6.804147424925665,-6.788178412629754,-6.775187955686229
117,-7.418833381497857,-7.171299958188714,-7.031978835340445,-6.950487220410082,-6.898153386473675,-6.861978098432521,-6.8355330501781495,-6.815342569352497,-6.799382939710363,-6.786402985725666
118,-7.429898666935034,-7.182367031192203,-7.043048685459012,-6.961560876597573,-6.909231898748791,-6.873062526863331,-6.846624462421877,-6.826442042515903,-6.810491556967417,-6.797521838442955
119,-7.4408707669528935,-7.193340874215926,-7.054025233331843,-6.97254113600567,-6.920216892511742,-6.8840532873083085,-6.857622032967105,-6.837447470177306,-6.821505898294079,-6.808546157522387
120,-7.451751235032132,-7.204223041268929,-7.064910040036385,-6.983429562529952,-6.931109935396771,-6.894951954594967,-6.868527338462998,-6.848360437984085,-6.832427557495868,-6.819477544161855
121,-7.462541593348252,-7.215015053180527,-7.0757046282519545,-6.994227679426883,-6.941912554855676,-6.905760059139558,-6.879341918875521,-6.85918249024457,-6.843258085346938,-6.830317559165432
122,-7.473243316315038,-7.225718394359872,-7.086410480336037,-7.0049369749904224,-6.952626242537054,-6.91647909736658,-6.890067273875891,-6.869915134247298,-6.853998997351054,-6.84106772430794
123,-7.483857852671859,-7.236334507390039,-7.097029043904836,-7.015558898472198,-6.963252452744721,-6.927110527829658,-6.900704867089879,-6.880559838792952,-6.86465176786214,-6.851729522587561
124,-7.4943866085387425,-7.246864804314404,-7.107561731606856,-7.026094865957726,-6.973792602023501,-6.937655772185863,-6.911256126296506,-6.89111803806196,-6.875217838766584,-6.862304402480355
125,-7.504830961311047,-7.2573106605258415,-7.118009921531811,-7.036546258033847,-6.984248076313536,-6.948116220352989,-6.921722444383817,-6.901591130273661,-6.88569861347692,-6.872793774771763
126,-7.5151922560351165,-7.267673418907428,-7.128374960825804,-7.046914422118428,-6.994620226362052,-6.958493225761769,-6.932105181664139,-6.911980479162629,-6.89609546288507,-6.883199017295676
127,-7.525471797096991,-7.277954393995036,-7.138658162089935,-7.05720067428372,-7.004910370792051,-6.96878811145308,-6.942405663547533,-6.9222874185985495,-6.906409724847122,-6.893521474515732
128,-7.53567086745688,-7.288154865798657,-7.148860807022794,-7.0674063002929834,-7.015119798083029,-6.979002169490332,-6.952625187042443,-6.932513248564218,-6.916642706672533,-6.903762458153595
129,-7.545790722352799,-7.298276085237801,-7.158984149227825,-7.077532554186616,-7.025249766301588,-6.989136660419259,-6.962765017721612,-6.942659238417119,-6.926795681483019,-6.91392324951449
130,-7.555832573654077,-7.308319272867941,-7.169029412957215,-7.087580662882743,-7.035301503244897,-6.999192816272781,-6.9728263897499945,-6.952726627967473,-6.936869896672755,-6.9240051004421055
131,-7.56579762009196,-7.318285624806964,-7.178997792875696,-7.0975518234563175,-7.045276209394278,-7.0091718412208275,-6.982810510861763,-6.962716630161234,-6.946866567378445,-6.9340092325047715
132,-7.575687029233983,-7.3281763091249745,-7.188890457174767,-7.107447205522929,-7.055175057296385,-7.019074909311564,-6.992718561644915,-6.972630428280165,-6.956786881080791,-6.943936838659023
133,-7.585501933450586,-7.337992463476172,-7.19870855058689,-7.11726795426566,-7.064999191781194,-7.028903172002003,-7.002551692652975,-6.982469177386266,-6.966632001235627,-6.953789085627249
134,-7.595243457448703,-7.347735203419812,-7.208453185247694,-7.127015186458214,-7.074749737185989,-7.038657750897435,-7.012311032307914,-6.99223400945443,-6.976403060729743,-6.963567113465873
135,-7.6049126813439445,-7.3574056216318136,-7.218125454584746,-7.1366899953262735,-7.084427785674957,-7.048339743266954,-7.021997681416775,-7.001926029012328,-6.9861011696771795,-6.973272035308298
136,-7.614510675563075,-7.367004780008448,-7.227726426685827,-7.146293451286281,-7.09403440933422,-7.057950225759355,-7.031612716730271,-7.011546315801403,-6.995727413849193,-6.982904941597331
137,-7.624038477148696,-7.376533725795076,-7.237257143278217,-7.155826598567386,-7.103570654820502,-7.0674902455718565,-7.041157190599637,-7.0210959280839775,-7.005282849646765,-6.992466895215983
138,-7.633497109815486,-7.385993475754754,-7.24671862864842,-7.165290460262096,-7.113037548261364,-7.076960830402072,-7.050632133741416,-7.030575897068271,-7.014768518250125,-7.0019589388633685
139,-7.642887574185033,-7.395385028084408,-7.25611187725569,-7.174686036092963,-7.122436090431442,-7.086362986588576,-7.060038552698406,-7.039987234247957,-7.024185431403911,-7.011382090002585
140,-7.652210837949123,-7.40470936000873,-7.265437869865635,-7.184014305502283,-7.131767263579858,-7.095697694404962,-7.069377433665205,-7.049330928494893,-7.033534582878794,-7.020737344422993
141,-7.66146785696802,-7.4139674289752495,-7.274697563569588,-7.193276226197614,-7.141032026112601,-7.104965918503366,-7.078649741646938,-7.05860794671001,-7.0428169410621395,-7.030025678305245
142,-7.670659573262542,-7.423160165495223,-7.283891891054618,-7.202472737303871,-7.150231319233547,-7.114168599368436,-7.087856419758259,-7.067819237151308,-7.052033459704816,-7.039248045111204
143,-7.6797868907308775,-7.432288488808735,-7.293021772486958,-7.21160475390506,-7.15936605961426,-7.123306657853865,-7.096998393418165,-7.076965724485481,-7.061185066457507,-7.048405377475557
144,-7.688850714768648,-7.441353291044506,-7.302088104483852,-7.2206731770554455,-7.168437150698743,-7.132380996504275,-7.106076564441085,-7.086048318248451,-7.070272671912946,-7.057498589605071
145,-7.697851911506256,-7.450355458658892,-7.31109176371927,-7.229678885915736,-7.177445472076533,-7.141392499220502,-7.11509182241096,-7.095067905100434,-7.079297168549176,-7.066528574853617
146,-7.706791356047303,-7.459295843475849,-7.320033614065188,-7.238622742636664,-7.186391887758523,-7.150342031880282,-7.1240450309738215,-7.104025356083965,-7.088259427096969,-7.075496212148173
147,-7.715669882597279,-7.468175292381103,-7.328914496777714,-7.247505591814688,-7.1952772437525825,-7.159230440260878,-7.132937043542615,-7.112921522780498,-7.097160302789718,-7.084402356669961
148,-7.724488316064501,-7.476994626903382,-7.337735238474625,-7.256328259766533,-7.204102368602112,-7.168058556259434,-7.141768687919681,-7.121757239368107,-7.106000633792627,-7.093247849135595
149,-7.733247461644551,-7.485754661030028,-7.34649664795462,-7.265091556685112,-7.212868073672024,-7.176827192544639,-7.150540784568475,-7.130533323447891,-7.114781240316043,-7.102033512745936
150,-7.741948115208131,-7.49445618296028,-7.3551995178938165,-7.273796278847168,-7.221575154319926,-7.185537145324625,-7.15925412708813,-7.139250576202052,-7.123502925722983,-7.11076015354573
151,-7.75059104862441,-7.503099968662766,-7.363844626434503,-7.2824432021110415,-7.2302243882624655,-7.194189198286026,-7.167909501708075,-7.1479097833909115,-7.132166476067759,-7.119428562662167
