Eigenstate,Residual Energy_6000,Residual Energy_8000,Residual Energy_10000
44,-0.000399623099981624985754485599909,-0.000399623761855240267051726672994,-0.000399623997554948085457322971104
45,-0.000385145106730631256587736694783,-0.000385145799889094531460325258542,-0.000385146046729312415480982537656
46,-0.000371480845257355253963838531567,-0.000371481570423986109260423640480,-0.000371481828662256795983487700285
47,-0.000358568872120763215600571426984,-0.000358569630018897917128591957525,-0.000358569899912767985903935897093
48,-0.000346353525647020135709001826477,-0.000346354317000011782370831557877,-0.000346354598807031662923089373510
49,-0.000334784278445066675896444292056,-0.000334785103976285368443381211883,-0.000334785397954009354186839596529
50,-0.00032381517357565516365142741623,-0.00032381603400848818646612014038,-0.00032381634041447445245608504012
51,-0.00031340433218044049583287364484,-0.00031340522823829251035386195743,-0.00031340554733010313538084063302
52,-0.00030351352234965071217644063472,-0.00030351445475594396075204341566,-0.00030351478679114495314672284461
53,-0.00029410778062934096852594684794,-0.00029410875010751548763331794897,-0.00029410909534367681440333166085
54,-0.00028515507890964456285560438623,-0.00028515608618315840474880389593,-0.00028515644487785402371380564944
55,-0.00027662603054703554353699532408,-0.00027662707633936500549812835340,-0.00027662744875017290012902848811
56,-0.00026849363049849963884571444895,-0.00026849471553313949930874208878,-0.00026849510191764171601089234748
57,-0.00026073302501799186988626736976,-0.00026073415001845563078576684547,-0.00026073455063423831839536239043
58,-0.00025332130711227441809926197257,-0.00025332247280209455286881826264,-0.00025332288790674800415760417539
59,-0.00024623733449763582971494210714,-0.00024623854160036403642240684790,-0.00024623897145148273142796487453
60,-0.00023946156725700229935357729952,-0.00023946281649620975851567807980,-0.00023946326135139240953436851319
61,-0.00023297592278489229169952490500,-0.00023297721488416992836647824760,-0.00023297767500101952646312385044
62,-0.00022676364593627983856292413736,-0.00022676498161923858830625497352,-0.00022676545725536245120993354911
63,-0.00022080919257517966804270714830,-0.00022081057256545074651678042231,-0.00022081106397846056778529436026
64,-0.00021509812495705306573631612682,-0.00021509954997828824151701518616,-0.00021510005742580014086436514538
65,-0.00020961701758271510189932734170,-0.00020961848835858697233282235343,-0.00020961901209822154702450967833
66,-0.00020435337233640213152835167293,-0.00020435488959060440134856354508,-0.00020435542987998677857871809044
67,-0.00019929554187042835220798988526,-0.00019929710632667611470448464150,-0.00019929766342343600487699795551
68,-0.00019443266032813470644522674201,-0.00019443427271016472698378041671,-0.00019443484687193647782694297587
69,-0.00018975458060817440274793036578,-0.00018975624163974540446448843127,-0.00018975683312416805591525843318
70,-0.00018525181747006597918063246892,-0.00018525352787495893068529909464,-0.00018525413693967627048494051518
71,-0.00018091549586385827013594923219,-0.00018091725636587667507889865410,-0.00018091788326853729502715957830
72,-0.00017673730394011991317847156501,-0.00017673911526309010154217039115,-0.00017673976026134745436169262066
73,-0.00017270945025901205583610386774,-0.00017271131312678347683060295179,-0.00017271197647829593359755404112
74,-0.00016882462477285260528290026295,-0.00016882653990929812173117175097,-0.00016882722187172902983181202567
75,-0.00016507596320436070961543280506,-0.00016507793133337689372560264011,-0.00016507863216439463530199489482
76,-0.00016145701448530816351831867742,-0.00016145903633081559394797490592,-0.00016145975628809364479897736256
77,-0.00015796171095694026984561744124,-0.00015796378724288382997141650429,-0.00015796452658410081887802593537
78,-0.00015458434106623780726648483322,-0.00015458647251658698457932228253,-0.00015458723149942675302586930770
79,-0.00015131952432061567489080934707,-0.00015132171165936486144319831380,-0.00015132249054151652370823646955
80,-0.00014816218828897847305239255150,-0.00014816443224014726689038764010,-0.00014816523127930527048309017612
81,-0.00014510754745906272408496345169,-0.00014510984874669623160249933722,-0.00014511066820056041802238668281
82,-0.00014215108378094049277544782186,-0.00014215344312910963193362409183,-0.00014215428325538529773308865812
83,-0.00013928852874387912825462965264,-0.00013929094687668093261283523085,-0.00013929180793307889074349650306
84,-0.00013651584684921158571156320421,-0.00013651832449076950922144867444,-0.00013651920673500615064677667958
85,-0.00013382922035561304972807175491,-0.00013383175823007727224498506385,-0.00013383266191987462780304541097
86,-0.00013122503518552930088552117649,-0.00013122763401707703435524105320,-0.00013122855941016283685639857374
87,-0.00012869986789213867177237361101,-0.00012870252840497446705429869166,-0.00012870347575908221360004939226
88,-0.00012625047359620936597565982229,-0.00012625319651456542026623316390,-0.00012625416608743443477613063043
89,-0.00012387377481076140237202362249,-0.00012387656085889786719474059445,-0.00012387755290827336312943837938
90,-0.00012156685107922047042756692687,-0.00012156970098142576015832603912,-0.00012157071576505890342748910665
91,-0.00011932692935968454483283187653,-0.00011932984384027564573163099735,-0.00011933088161592361777635345675
92,-0.00011715137509424571981835562007,-0.00011715435487756849954019979040,-0.00011715541590299456058019243925
93,-0.00011503768390780039665502119307,-0.00011504072971822991421485072243,-0.00011504181425120346665135939500
94,-0.00011298347388589867307967455374,-0.00011298658644783948924778486672,-0.00011298769474613614121378464797
95,-0.00011098647838562581269553172238,-0.00011098965842351230080159564881,-0.00011099079074491392985142951059
96,-0.00010904453933775095397854895337,-0.00010904778757604761110357832997,-0.00010904894417834242803457360913
97,-0.00010715560100176938464050106229,-0.00010715891816497114317784256614,-0.00010716009930595375597715419117
98,-0.00010531770413918920636225078312,-0.00010532109095182174592941517607,-0.00010532229688929322383948884396
99,-0.00010352898057297374775106674841,-0.00010353243775959380743583067892,-0.00010353366875136174513260803043
100,-0.00010178764810416846963010075410,-0.00010179117638936416055512089906,-0.00010179243269324274243319125478
101,-0.00010009200575891470717629612282,-0.00010009560586730582536748864333,-0.00010009688774111588992699286687
102,-0.00009844042934143047622186102396,-0.00009844410199766881576681515299,-0.00009844540969923792009705123698
103,-0.00009683136727059945798410465572,-0.00009683511319936912446741108159,-0.00009683644698653160882245431054
104,-0.00009526333667940006640768065279,-0.00009526715660541779061133577284,-0.00009526851673601484307336653381
105,-0.00009373491975846837121952630469,-0.00009373881440648382307672956093,-0.00009374020113836354430285861718
106,-0.00009224476032627144836080018945,-0.00009224873042106755115254603589,-0.00009225014401208501920127831050
107,-0.00009079156060992102474508471395,-0.00009079560687631426952946079007,-0.00009079704758433160476316555705
108,-0.00008937407822193773648627473865,-0.00008937820138477849675089279968,-0.00008937966946766492681076570355
109,-0.00008799112331928145802340049387,-0.00008799532410345430455220283926,-0.00008799681981908622940257950182
110,-0.00008664155593223187862667110653,-0.00008664583506265589457251480708,-0.00008664735866891695161138108247
111,-0.00008532428345147957939439423998,-0.00008532864165310867554965100508,-0.00008533019340788980478250252207
112,-0.00008403825826276526629360286376,-0.00008404269626058849655123289406,-0.00008404427642178800582558245986
113,-0.00008278247551922619307542915850,-0.00008278699403826807007351211839,-0.00008278860286379170037143581380
114,-0.00008155597104226794391497002427,-0.00008156057080758875485805717701,-0.00008156220855534974564435540186
115,-0.00008035781934253347590684662756,-0.00008036250107922959855784072623,-0.00008036416800714875318153832334
116,-0.00007918713175313195993383366737,-0.00007919189618633617877059379284,-0.00007919359255234192991759552508
117,-0.00007804305466789084642911677932,-0.00007804790252277266896000614566,-0.00007804962858480114415482101730
118,-0.00007692476787783688953043302922,-0.00007692969987960286276377407465,-0.00007693145589559794991845074157
119,-0.00007583148299974660246021516583,-0.00007583649987364062952244202532,-0.00007583828610155404253075657354
120,-0.00007476244199087969700207646785,-0.00007476754446218335390001636097,-0.00007476936115997469827525641615
121,-0.00007371691574454838992644598725,-0.00007372210453858124244922913065,-0.00007372395196421808100388303503
122,-0.00007269420276149284288214940622,-0.00007269947860361276363854730828,-0.00007270135701507068220435182310
123,-0.00007169362789239859440132176135,-0.00007169899150800207998852425398,-0.00007170090116326475317535678896
124,-0.00007071454114722753908649453461,-0.00007071999326175002738647489750,-0.00007072193441880928437869880816
125,-0.00006975631656727620625241691063,-0.00006976185790619239385242810624,-0.00006976383082304828424134059946
126,-0.00006881835115623154952341434890,-0.00006882398244505570925716986162,-0.00006882598737971656890828561387
127,-0.00006790006386668854337564188076,-0.00006790578583097484198194287455,-0.00006790782304145735893591163088
128,-0.00006700089463883041246512519814,-0.00006700670800417322836101967446,-0.00006700877774850250876701793782
129,-0.00006612030348824440914174790773,-0.00006612620898027865030721348759,-0.00006612831151648828438773755792
130,-0.00006525776963998978327910241967,-0.00006526376798439120525053303341,-0.00006526590357052333329650883207
131,-0.00006441279070624025778680460798,-0.00006441888262872578175676129285,-0.00006442105152283116015201039206
132,-0.00006358488190495968575706057200,-0.00006359106813128771677800886117,-0.00006359327059142578405223806641
133,-0.00006277357531740761097688342671,-0.00006277985657337835626613666826,-0.00006278209285761729917531447684
134,-0.00006197841918210387487406203275,-0.00006198479619355966221815351745,-0.00006198706655997648185163763842
135,-0.00006119897722328803235967622070,-0.00006120545071611362861604826357,-0.00006120775542279420652962245684
136,-0.00006043482801202076379771961177,-0.00006044139871214369349137981707,-0.00006044373801718285786528320677
137,-0.00005968556435797201820325061542,-0.00005969223299136288221691837148,-0.00005969460715286447403829764049
138,-0.00005895079273032102227166949066,-0.00005895756002299381662743348282,-0.00005895996929907075589644417143
139,-0.00005823013270615353229029803145,-0.00005823699938416596702106410646,-0.00005823944403294031897993023803
140,-0.00005752321644481042016544729538,-0.00005753018323426423827484901187,-0.00005753266351386727965933226805
141,-0.00005682968818690784781896826346,-0.00005683675581394914432780714934,-0.00005683927198252142964035766090
142,-0.00005614920377659750870916534752,-0.00005615637296741704978719889910,-0.00005615892528310847759128018679
143,-0.00005548143020588173608272375643,-0.00005548870168671527826443841891,-0.00005549129040768515749947246338
144,-0.00005482604517982570350046609218,-0.00005483341967695431298348089160,-0.00005483604506137142929989326325
145,-0.00005418273670158418068064548046,-0.00005419021494133455270539281994,-0.00005419287724737723481915179549
146,-0.00005355120267616162649703279357,-0.00005355878538490640480678374342,-0.00005356148487076259087309832714
147,-0.00005293115053198112919864048296,-0.00005293883843613922557869360615,-0.00005294157536000652958433524208
148,-0.00005232229685936856892335232572,-0.00005233009068540548281816458055,-0.00005233286530549126099193624769
149,-0.00005172436706499725079485341976,-0.00005173226753942538900249628918,-0.00005173508011394680624357107908
150,-0.00005113709504164399702584331951,-0.00005114510289102299346828298852,-0.00005114795367820708979174563132
151,-0.00005056022285228807317855975363,-0.00005056833880322510874749214223,-0.00005057122806130886574702294246
152,-0.00004999350042801405467494194754,-0.00005000172520716417715190305416,-0.00005000465319439458447899196663
153,-0.00004943668527891996924374287319,-0.00004944501961298641329395143688,-0.00004944798658762053515342209423
154,-0.00004888954221745476010390973666,-0.00004889798683318926734287873314,-0.00004890099305349430900431318922
155,-0.00004835184309355059574867665358,-0.00004836039871775373488092446292,-0.00004836344444200710920568436946
156,-0.00004782336654092757159127040282,-0.00004783203390044905862078179994,-0.00004783511938693845260441470908
157,-0.00004730389773415231324566737134,-0.00004731267755589133175694836790,-0.00004731580306291477308650836357
158,-0.00004679322815579690987893895224,-0.00004680212116670243138848668816,-0.00004680528695256835501467177854
159,-0.0000462911553733224413904191617,-0.0000463001623003935457677718024,-0.0000463033686234208604914215501
160,-0.0000457974828251499330695892942,-0.0000458066043954361290276025838,-0.0000458098515139542841004956701
161,-0.0000453120196155343629269082558,-0.0000453212565561359085806576775,-0.0000453245447284849603202086404
162,-0.0000448345803177863930336133128,-0.0000448439333558546165276277419,-0.0000448472628403852949453838308
163,-0.0000443649847855241660058949729,-0.0000443744546482617862088935744,-0.0000443778257033355616524330795
164,-0.0000439030579714966018938186452,-0.0000439126453861580491608610047,-0.0000439160582701471989690101308
165,-0.0000434486297536554336789472455,-0.0000434583354475471706807176235,-0.0000434617904188348458519100858
166,-0.0000430015347682047063632772373,-0.0000430113594686855489817663359,-0.0000430148567856658408552248344
167,-0.0000425616122492424339721711766,-0.0000425715566837238722625261500,-0.0000425750966048018792121068380
168,-0.0000421287058746823826425541924,-0.0000421387707706289018611140111,-0.0000421423535542207960017794735
169,-0.0000417026636182740444842952573,-0.0000417128497032034461819450798,-0.0000417164756077365400884229324
170,-0.0000412833376073148786915021299,-0.0000412936456087986018726569219,-0.0000412973148927114153104096994
171,-0.0000408705839859127718471837236,-0.0000408810146315762141937100443,-0.0000408847275533185408618611237
172,-0.0000404642627834811988234278738,-0.0000404748168010040379835641453,-0.0000404785736190370122697184092
173,-0.0000400642377882894237849835962,-0.0000400749159054059387267964806,-0.0000400787168782021024735489314
174,-0.0000396703764258065085128476936,-0.0000396811793703059009421682316,-0.0000396850247563492702252362537
175,-0.0000392825496416484232374511205,-0.0000392934781413751390801063828,-0.0000392973681991612709978796126
176,-0.0000389006317889248087266049367,-0.0000389116865717788596747906276,-0.0000389156215598149191492286355
177,-0.0000385245005198038593532512095,-0.0000385356823137411444758501133,-0.0000385396624905459710646080655
178,-0.0000381540366811074167095986101,-0.0000381653462141400441263235738,-0.0000381693718382442188459437858
179,-0.0000377891242137757345495159005,-0.0000378005622139723431687139184,-0.0000378046335439182553287740177
180,-0.0000374296500560100547973641125,-0.0000374412172514961361175114373,-0.0000374453345458380501656966858
181,-0.0000370755040499739042076196501,-0.0000370872011689321241823346431,-0.0000370913646862362465602858443
182,-0.0000367265788518937699387408658,-0.0000367384066225642909051191586,-0.0000367426166214088369149115631
183,-0.0000363827698453969865965724110,-0.0000363947289960777892669956960,-0.0000363989857350530499482570582
184,-0.0000360439750579840420396570884,-0.0000360560663170312475568042224,-0.0000360603700547396565742741475
185,-0.0000357100950804626484037465199,-0.0000357223191762908404591385494,-0.0000357266701713470410007527246
186,-0.0000353810329892952072454557991,-0.0000353933906503777542609538702,-0.0000353977891614086659461667139
187,-0.0000350566942716614996192960538,-0.0000350691862265308769919654362,-0.0000350736325121757627903820017
188,-0.0000347369867531775715464431124,-0.0000347496137304256839565512012,-0.0000347541080493362171167300705
189,-0.0000344218205281420554033948870,-0.0000344345832564205591856539511,-0.0000344391258672608901740497653
190,-0.0000341111078922149431951307105,-0.0000341240071002355687731744894,-0.0000341285982616823922231272641
191,-0.0000338047632774384594546894872,-0.0000338177996939733338387295436,-0.0000338224396647159555094542427
192,-0.0000335027031894891466958175120,-0.0000335158775433711160435672881,-0.0000335205665821115197890710387
193,-0.0000332048461470954898931681655,-0.0000332181591672184421340943585,-0.0000332228975326713568819862512
194,-0.0000329111126235119247845828178,-0.0000329245650388311123075043569,-0.0000329293529897240790476474031
195,-0.0000326214249899974362816086828,-0.0000326350175295297986855777139,-0.0000326398553246032374684823955
196,-0.0000323357074611960861709557562,-0.0000323494408540205730796811291,-0.0000323543287520278500246501279
197,-0.0000320538860423486097118660586,-0.0000320677610176065036515978974,-0.0000320726992773139979645759035
198,-0.0000317758884782987575325240310,-0.0000317899057651939968734305883,-0.0000317948946453811678744185271
199,-0.0000315016442041557428805826049,-0.0000315158045319552448419823743,-0.0000315208442914146990021485301
200,-0.0000312310842976194454016027654,-0.0000312453883956534291208652986,-0.0000312504792931909871091990888
201,-0.0000309641414328991152725772346,-0.0000309785900305614249375432925,-0.0000309837323249961886769280963
202,-0.0000307007498360810578019094687,-0.0000307153436628294858477173575,-0.0000307205376129939055806691762
203,-0.0000304408452420189334703020828,-0.0000304555850273755438399118750,-0.0000304608308921154852036520780
204,-0.0000301843648525753506618793409,-0.0000301992513261268021310797718,-0.0000302045493643016132421475157
205,-0.0000299312472962625349469221137,-0.0000299462811876604045131818274,-0.0000299516316581429830613445966
206,-0.0000296814325891373590295545592,-0.0000296966146280984653655193551,-0.0000297020177897753257171274467
207,-0.0000294348620969806824074564905,-0.0000294501930132874093788602224,-0.0000294556491250587496895313962
208,-0.0000291914784986652138996651837,-0.0000292069590221658341478069933,-0.0000292124683429456034844381596
209,-0.0000289512257506908389239713150,-0.0000289668566112998375130206365,-0.0000289724194000158029851499903
210,-0.0000287140490528353509913392999,-0.0000287298309805337491206797399,-0.0000287354474961275630211326525
211,-0.0000284798948148926480198043546,-0.0000284958285397283268012749048,-0.0000285014990411555937561023444
212,-0.0000282487106244631728463851451,-0.0000282647968765511971465931686,-0.0000282705216227815412741730743
213,-0.0000280204452157100375313233957,-0.0000280366847252329798796309774,-0.0000280424639752501119591588363
214,-0.0000277950484391247916758910777,-0.0000278114419363330562376203144,-0.0000278172759491348408867264518
215,-0.0000275724712322025845437942138,-0.0000275890194474147311591942753,-0.0000275949084820132540208274207
216,-0.0000273526655910190827935281434,-0.0000273693692546221510826143075,-0.0000273753135700437860211421611
217,-0.0000271355845426838251528549491,-0.0000271524443851336586862203210,-0.0000271584442404191349927375371
218,-0.0000269211821186378357367776849,-0.0000269381988704594062724729096,-0.0000269442545246638758792536762
219,-0.0000267094133287410629431250314,-0.0000267265877205287947300053879,-0.0000267326994327218994342003069
220,-0.0000265002341361578933383906956,-0.0000265175668985759874859643929,-0.0000265237349278419261824575501
221,-0.0000262936014329927953987513125,-0.0000263110932967755543135873399,-0.0000263173179022131502370284461
222,-0.0000260894730166440425398800286,-0.0000261071247125961944291370105,-0.0000261134061533189624051808491
223,-0.0000258878075668777022205230318,-0.0000259056198258747256624046426,-0.0000259119583610109393680927843
224,-0.0000256885646235822447497677494,-0.0000257065381765706933311334799,-0.0000257129340652634525644078317
225,-0.0000254917045651505116549593192,-0.0000255098401431483386766141341,-0.0000255162936445556366350974656
226,-0.0000252971885875272166123173819,-0.0000253154869216240998618627453,-0.0000253219982949188904307574710
227,-0.0000251049786838617946131112524,-0.0000251234405052194612055487653,-0.0000251300100095897262547147613
228,-0.0000249150376247444614233492240,-0.0000249336636645970127099260350,-0.0000249402915592458294001419110
229,-0.0000247273289390255598078114895,-0.0000247461199286797963528896450,-0.0000247528064728254044512806643
230,-0.0000245418168951809021896622743,-0.0000245607735660166488162663713,-0.0000245675190188925180209437328
231,-0.0000243584664832219087031514006,-0.0000243775895666923396069820271,-0.0000243843941875472368808367997
232,-0.0000241772433971123430927681544,-0.0000241965336247443070252465406,-0.0000242033976728423639389680817
233,-0.0000239981140176996110450722101,-0.0000240175721210939565653294320,-0.0000240244958557147366495800081
234,-0.0000238210453961070475141634321,-0.0000238406721069389483105801564,-0.0000238476557873775144174861050
235,-0.0000236460052376215095666791099,-0.0000236658012876407898478030543,-0.0000236728451732077715215791094
236,-0.0000234729618860330091077250219,-0.0000234929280070644690626888764,-0.0000235000323570861299194596059
237,-0.0000233018843083823820350318779,-0.0000233220212323261233644128093,-0.0000233291863061444284813852215
238,-0.0000231327420801740533853335822,-0.0000231530505390058049018842697,-0.0000231602765959784882156609897
239,-0.0000229655053709824955787851307,-0.0000229859860967539388784834556,-0.0000229932733962545705926408895
240,-0.0000228001449304446452637861843,-0.0000228207986552837404678093305,-0.0000228281474567017944697990361
241,-0.0000226366320746482762371609219,-0.0000226574595307595878047249087,-0.0000226648700935005090921020817
242,-0.0000224749386729212827070150739,-0.0000224959405925863053189614178,-0.0000225034131760715774347177423
243,-0.0000223150371349248366455831140,-0.0000223362142505023211597440730,-0.0000223437491141695336371759812
244,-0.0000221569003981502563022273283,-0.0000221782534420765357800403758,-0.0000221858508453794515967888067
245,-0.0000220005019157378231206623058,-0.0000220220316205271389255209109,-0.0000220296918229357619669419084
246,-0.0000218458156446022748503540355,-0.0000218675227428471028183606051,-0.0000218752460038477453503678763
247,-0.0000216928160339136529867393492,-0.0000217147012582850296694340220,-0.0000217224878373803798205897186
248,-0.0000215414780138627941767101815,-0.0000215635420971106431563899466,-0.0000215713922538198324094514751
249,-0.0000213917769847364240653446869,-0.0000214140206596898823431935366,-0.0000214219346535485530359981304
250,-0.0000212436888062884613890135366,-0.0000212661128058562058460283571,-0.0000212740908964165786817847584
251,-0.0000210971897873624641956105331,-0.0000211197948445330381271408153,-0.0000211278372913639796942746842
252,-0.0000209522566758282098325006239,-0.0000209750435236703495560258982,-0.0000209831505863574398573359383
253,-0.0000208088666487673608227317568,-0.0000208318360204303223592382381,-0.0000208400079585759223505329479
254,-0.0000206669973028943564268208714,-0.0000206901499316082422565062740,-0.0000206983870048315613948608217
255,-0.0000205266266452668236843636946,-0.0000205499632643429095762081763,-0.0000205582657322800733775116582
256,-0.0000203877330842007489276408280,-0.0000204112544270318108437209939,-0.0000204196225493359284499359904
257,-0.0000202502954204366625914897265,-0.0000202740022204973036660425519,-0.0000202824362568385354219419387
258,-0.0000201142928385366805721537638,-0.0000201381858293836581654810987,-0.0000201466860394492832049310403
259,-0.0000199797048985041597572655890,-0.0000200037848137767125848472160,-0.0000200123514572711964266949383
260,-0.0000198465115275978814443658739,-0.0000198707791010180567816649846,-0.0000198794124376631189352007064
261,-0.0000197146930123853234223590230,-0.0000197391489777583043850770120,-0.0000197478492672929859651400070
262,-0.0000195842299909592338568446044,-0.0000196088750821736667575715542,-0.0000196176425843543981093675322
263,-0.0000194551034453947957041819262,-0.0000194799383964231174849494707,-0.0000194887733710237858184170894
264,-0.0000193272946943613901843011446,-0.0000193523202392601559258539462,-0.0000193612229460721729598031785
265,-0.0000192007853859339921628855550,-0.0000192260022588442026707249835,-0.0000192349729576765722866792229
266,-0.0000190755574905828314369440843,-0.0000191009664257302609044491757,-0.0000191100053764096468102478347
267,-0.0000189515932943472858764323901,-0.0000189771950260428096250616381,-0.0000189863024884136030281402783
268,-0.0000188288753921610106135317900,-0.0000188546706548009329107879490,-0.0000188638468887253202012932155
269,-0.0000187073866813504338086311021,-0.0000187333762094168157638905213,-0.0000187426214747748462076291843
270,-0.0000185871103552918712986648606,-0.0000186132948833528588371182508,-0.0000186226094400425122783393264
271,-0.0000184680298972419014923968699,-0.0000184944101599520534070274631,-0.0000185037942678893079809201493
272,-0.0000183501290742827804997737425,-0.0000183767058063833965823708163,-0.0000183861597255022964376333147
273,-0.0000182333919314503281344812130,-0.0000182601658677697773853237253,-0.0000182696898580225004164879725
274,-0.0000181178027859751066874737845,-0.0000181447746614291556043743712,-0.0000181543689827860811942084515
275,-0.0000180033462216957527685370980,-0.0000180305167712878937149551008,-0.0000180401816837376704866797081
276,-0.0000178900070835787813208790103,-0.0000179173770424005609740430003,-0.0000179271128059501745535587583
277,-0.0000177777704723713934663233814,-0.0000178053405756027413453652397,-0.0000178151474502775821335796072
278,-0.0000176666217394083217752349907,-0.0000176943927223178788492429646,-0.0000177042709681618098043002827
279,-0.0000175565464815138067720113550,-0.0000175845190794592541488638368,-0.0000175944689565346785784697472
280,-0.0000174475305360384267517024554,-0.0000174757054844668144475940525,-0.0000174857272528547438114544856
281,-0.0000173395599760094105178424172,-0.0000173679380104574863078926367,-0.0000173780319302576080302671826
282,-0.0000172326211053949112603120414,-0.0000172612029614894496105735650,-0.0000172713692928201949029385139
283,-0.0000171267004544883106437063258,-0.0000171554868679464417245747181,-0.0000171657258709450534184423279
284,-0.0000170217847753951539374680668,-0.0000170507764820246927190391436,-0.0000170610884168472931089222177
285,-0.0000169178610376100768771178067,-0.0000169470587733098523069170347,-0.0000169574439001315110036601353
286,-0.0000168149164237252830154448785,-0.0000168443209244854672782597944,-0.0000168547795035002690724389364
287,-0.0000167129383252178491456784205,-0.0000167425503271202870062999130,-0.0000167530826185413997419697849
288,-0.0000166119143383379975942138570,-0.0000166417345775565358231708018,-0.0000166523408416162782819969113
289,-0.0000165118322600992290516973089,-0.0000165418614729000459341777940,-0.0000165525419698499557297578590
290,-0.0000164126800843530305338889877,-0.0000164429190070949654622318348,-0.0000164536739972058669448405268
291,-0.0000163144459979615752857364772,-0.0000163448953670964584356291822,-0.0000163557251106585306073091085
292,-0.0000162171183770444134817723675,-0.0000162477789291173955727084036,-0.0000162586836864402400128113756
293,-0.0000161206857833271156867855798,-0.0000161515582549769978267366858,-0.0000161625382863897066278524873
294,-0.0000160251369605484278570127943,-0.0000160562220885079914720688960,-0.0000160672776543592151865734825
295,-0.0000159304608309844764782911851,-0.0000159617593520808133267784221,-0.0000159728907127388289236190477
