Eigenstate,Residual Energy,Adjusted Residual Energy,log(Adjusted Residual Energy)
27,-0.000883103141639776525418334523833,0.035961825972857877565025652333790289,-3.325297292779720859101644236943684518337249755859375
28,-0.000833000887890948004391567697836,0.036011928226606706086052419159787289,-3.323905055778915151876162781263701617717742919921875
29,-0.000787270546146081268949917916633,0.036057658568351572821494068940990289,-3.32263599486387395387509968713857233524322509765625
30,-0.000745404720099725148187657969851,0.036099524394397928942256328887772289,-3.321475588400506051556249076384119689464569091796875
31,-0.000706968649560648819242715697922,0.036137960464937005271201271159701289,-3.320411429695614646817602988448925316333770751953125
32,-0.000671587960375968539620604444639,0.036173341154121685550823382412984289,-3.31943286365639611545930165448226034641265869140625
33,-0.000638938774457494736309674643537,0.036205990340040159354134312214086289,-3.318530694833917937813794196699745953083038330078125
34,-0.000608739671781239360113958716989,0.036236189442716414730330028140634289,-3.31769695116369245369014606694690883159637451171875
35,-0.000580745116492433556036615112126,0.036264183998005220534407371745497289,-3.316924691508975175935347579070366919040679931640625
36,-0.000554740048616808191445392778587,0.036290189065880845898998594079036289,-3.316207847909036221523138010525144636631011962890625
37,-0.000530535409880331638693989442372,0.036314393704617322451749997415251289,-3.315541095516568503853704896755516529083251953125
38,-0.000507964422794558340388803003185,0.036336964691703095750055183854438289,-3.3149197447721316933666457771323621273040771484375
39,-0.000486879480763114521266567664674,0.036358049633734539569177419192949289,-3.3143396515479022212957715964876115322113037109375
40,-0.000467149536596886907261052052985,0.036377779577900767183182934804638289,-3.3137971418971847725742918555624783039093017578125
41,-0.000448657899735202525107133921635,0.036396271214762451565336852935988289,-3.313288948741568429312565058353357017040252685546875
42,-0.000431300370300929448847166126544,0.036413628744196724641596820731079289,-3.3128121583662792914992678561247885227203369140625
43,-0.000414983652084127911478362131578,0.036429945462413526178965624726045289,-3.31236416501429431491487775929272174835205078125
44,-0.000399623997554948085457322971104,0.036445305116942706004986663886519289,-3.311942632199394775938117163605056703090667724609375
45,-0.000385146046729312415480982537656,0.036459783067768341674963004319967289,-3.3115454596185376345829354249872267246246337890625
46,-0.000371481828662256795983487700285,0.036473447285835397294460499157338289,-3.3111707547505186965963730472140014171600341796875
47,-0.000358569899912767985903935897093,0.036486359214584886104540050960530289,-3.310816808392828658469397851149551570415496826171875
48,-0.000346354598807031662923089373510,0.036498574515690622427520897484113289,-3.310482073520973234082021008362062275409698486328125
49,-0.000334785397954009354186839596529,0.036510143716543644736257147261094289,-3.310165146961242310652551168459467589855194091796875
50,-0.00032381634041447445245608504012,0.036521112774083179637987901817503289,-3.309864753454430985613043958437629044055938720703125
51,-0.00031340554733010313538084063302,0.036531523567167550955063146224603289,-3.309579731758397702634511006181128323078155517578125
52,-0.00030351478679114495314672284461,0.036541414327706509137297264013013289,-3.309309022494905772049378356314264237880706787109375
53,-0.00029410909534367681440333166085,0.036550820019153977276040655196773289,-3.309051657493454090541717960149981081485748291015625
54,-0.00028515644487785402371380564944,0.036559772669619800066730181208183289,-3.308806750423730846932812710292637348175048828125
55,-0.00027662744875017290012902848811,0.036568301665747481190314958369513289,-3.30857348854055199893764438456855714321136474609375
56,-0.00026849510191764171601089234748,0.036576434012580012374433094510143289,-3.30835112539190934199950788752175867557525634765625
57,-0.00026073455063423831839536239043,0.036584194563863415772048624467193289,-3.308138974363042716930749520543031394481658935546875
58,-0.00025332288790674800415760417539,0.036591606226590906086286382682233289,-3.307936402948099985366070541203953325748443603515625
59,-0.00024623897145148273142796487453,0.036598690143046171359016021983093289,-3.30774282765659943805758302914910018444061279296875
60,-0.00023946326135139240953436851319,0.036605465853146261680909618344433289,-3.30755770947506366752577378065325319766998291015625
61,-0.00023297767500101952646312385044,0.036611951439496634563980863007183289,-3.307380549815322812179374523111619055271148681640625
62,-0.00022676545725536245120993354911,0.036618163657242291639234053308513289,-3.30721088689038111851914436556398868560791015625
63,-0.00022081106397846056778529436026,0.036624118050519193522658692497363289,-3.307048292466745476048117780010215938091278076171875
64,-0.00021510005742580014086436514538,0.036629829057071853949579621712243289,-3.3068923689489082562431576661765575408935546875
65,-0.00020961901209822154702450967833,0.036635310102399432543419477179293289,-3.30674274675749035878880022210069000720977783203125
66,-0.00020435542987998677857871809044,0.036640573684617667311865268767183289,-3.3065990819675139533728724927641451358795166015625
67,-0.00019929766342343600487699795551,0.036645631451074218085566988902113289,-3.306461054177557645772367322933860123157501220703125
68,-0.00019443484687193647782694297587,0.036650494267625717612617043881753289,-3.306328364584186996211201403639279305934906005859375
69,-0.00018975683312416805591525843318,0.036655172281373486034528728424443289,-3.30620073423923965805215630098246037960052490234375
70,-0.00018525413693967627048494051518,0.036659674977557977819959046342443289,-3.306077902470273333079830990754999220371246337890625
71,-0.00018091788326853729502715957830,0.036664011231229116795416827279323289,-3.305959625446833971551541253575123846530914306640625
72,-0.00017673976026134745436169262066,0.036668189354236306636082294236963289,-3.305845674877279094516779878176748752593994140625
73,-0.00017271197647829593359755404112,0.036672217138019358156846432816503289,-3.30573583682265859096105486969463527202606201171875
74,-0.00016882722187172902983181202567,0.036676101892625925060612174831953289,-3.305629910615717648170175380073487758636474609375
75,-0.00016507863216439463530199489482,0.036679850482333259455141991962803289,-3.30552770787444760713924551964737474918365478515625
76,-0.00016145975628809364479897736256,0.036683469358209560445645009495063289,-3.305429051600791812148827375494875013828277587890625
77,-0.00015796452658410081887802593537,0.036686964587913553271565960922253289,-3.305333775356162018255190560012124478816986083984375
78,-0.00015458723149942675302586930770,0.036690341882998227337418117549923289,-3.305241722506323309715980940381996333599090576171875
79,-0.00015132249054151652370823646955,0.036693606623956137566735750388073289,-3.30515274552902837967849336564540863037109375
80,-0.00014816523127930527048309017612,0.036696763883218348819960896681503289,-3.30506670537846503066248260438442230224609375
81,-0.00014511066820056041802238668281,0.036699818446297093672421600174813289,-3.304983470901230457883457347634248435497283935546875
82,-0.00014215428325538529773308865812,0.036702774831242268792710898199503289,-3.304902918299073899532913856091909110546112060546875
83,-0.00013929180793307889074349650306,0.036705637306564575199700490354563289,-3.30482493063416171708013280294835567474365234375
84,-0.00013651920673500615064677667958,0.036708409907762647939797210178043289,-3.304749397373032859803743122029118239879608154296875
85,-0.00013383266191987462780304541097,0.036711096452577779462640941446653289,-3.304676213965802133998295175842940807342529296875
86,-0.00013122855941016283685639857374,0.036713700555087491253587588283883289,-3.304605281457523080490545908105559647083282470703125
87,-0.00012870347575908221360004939226,0.036716225638738571876843937465363289,-3.304536506128908257551302085630595684051513671875
88,-0.00012625416608743443477613063043,0.036718674948410219655667856227193289,-3.304469799163883170223243723739869892597198486328125
89,-0.00012387755290827336312943837938,0.036721051561589380727314548478243289,-3.30440507634170099748871507472358644008636474609375
90,-0.00012157071576505890342748910665,0.036723358398732595187016497750973289,-3.304342257751553546540890238247811794281005859375
91,-0.00011933088161592361777635345675,0.036725598232881730472667633400873289,-3.304281267527796384086968828341923654079437255859375
92,-0.00011715541590299456058019243925,0.036727773698594659529863794418373289,-3.30422203360411526062989651109091937541961669921875
93,-0.00011504181425120346665135939500,0.036729887300246450623792627462623289,-3.30416448748506841326388894231058657169342041015625
94,-0.00011298769474613614121378464797,0.036731941419751517949230202209653289,-3.30410856403362718225480421097017824649810791015625
95,-0.00011099079074491392985142951059,0.036733938323752740160592557347033289,-3.30405420127342619451837890665046870708465576171875
96,-0.00010904894417834242803457360913,0.036735880170319311662409413248493289,-3.3040013402045733670320259989239275455474853515625
97,-0.00010716009930595375597715419117,0.036737769015191700334466832666453289,-3.30394992463194991927366572781465947628021240234375
98,-0.00010532229688929322383948884396,0.036739606817608360866604498013663289,-3.303899901005051820135349771589972078800201416015625
99,-0.00010353366875136174513260803043,0.036741395445746292345311378827193289,-3.303851218268475609107781565398909151554107666015625
100,-0.00010179243269324274243319125478,0.036743136681804411348010795602843289,-3.3038038277222465666227435576729476451873779296875
101,-0.00010009688774111588992699286687,0.036744832226756538200516993990753289,-3.30375768289126003907085760147310793399810791015625
102,-0.00009844540969923792009705123698,0.036746483704798416170346935620643289,-3.303712739403142251148892682977020740509033203125
103,-0.00009683644698653160882245431054,0.036748092667511122481621532547083289,-3.303668954873932417370951952761970460414886474609375
104,-0.00009526851673601484307336653381,0.036749660597761639247370620323813289,-3.303626288800995514094438476604409515857696533203125
105,-0.00009374020113836354430285861718,0.036751188913359290546141128240443289,-3.303584702462659894450780484476126730442047119140625
106,-0.00009225014401208501920127831050,0.036752678970485569071242708547123289,-3.303544158824089915782451498671434819698333740234375
107,-0.00009079704758433160476316555705,0.036754132066913322485680821300573289,-3.303504622448958816249842129764147102832794189453125
108,-0.00008937966946766492681076570355,0.036755549445029989163633221154073289,-3.30346605941650661719677373184822499752044677734375
109,-0.00008799681981908622940257950182,0.036756932294678567861041407355803289,-3.303428437243618009944157165591605007648468017578125
110,-0.00008664735866891695161138108247,0.036758281755828737138832605775153289,-3.30339172481156584382233631913550198078155517578125
111,-0.00008533019340788980478250252207,0.036759598921089764285661484335553289,-3.303355892297106688459962242632173001766204833984375
112,-0.00008404427642178800582558245986,0.036760884838075866084618404397763289,-3.303320911107634483272477154969237744808197021484375
113,-0.00008278860286379170037143581380,0.036762140511633862390072551043823289,-3.303286753820114274304842183482833206653594970703125
114,-0.00008156220855534974564435540186,0.036763366905942304344799631455763289,-3.303253394123550901184671602095477283000946044921875
115,-0.00008036416800714875318153832334,0.036764564946490505337262448534283289,-3.3032208067647577109937628847546875476837158203125
116,-0.00007919359255234192991759552508,0.036765735521945312160526391332543289,-3.30318896749720547489914679317735135555267333984375
117,-0.00007804962858480114415482101730,0.036766879485912852946289165840323289,-3.3031578530327596610050022718496620655059814453125
118,-0.00007693145589559794991845074157,0.036767997658602056140525536116053289,-3.303127440996111996440731672919355332851409912109375
119,-0.00007583828610155404253075657354,0.036769090828396100047913230284083289,-3.3030977098817420056775517878122627735137939453125
120,-0.00007476936115997469827525641615,0.036770159753337679392168730441473289,-3.30306863901324110344148721196688711643218994140625
121,-0.00007372395196421808100388303503,0.036771205162533436009440103822593289,-3.303040208504859354121663272962905466556549072265625
122,-0.00007270135701507068220435182310,0.036772227757482583408239635034523289,-3.303012399225128792323857851442880928516387939453125
123,-0.00007170090116326475317535678896,0.036773228213334389337268630068663289,-3.302985192762440735947393477545119822025299072265625
124,-0.00007072193441880928437869880816,0.036774207180078844806065288049463289,-3.30295857139245629952029048581607639789581298828125
125,-0.00006976383082304828424134059946,0.036775165283674605806202646258163289,-3.30293251804723464459812021232210099697113037109375
126,-0.00006882598737971656890828561387,0.036776103127117937521535701243753289,-3.302907016285983043957230620435439050197601318359375
127,-0.00006790782304145735893591163088,0.036777021291456196731508075226743289,-3.302882050267324842707239440642297267913818359375
128,-0.00006700877774850250876701793782,0.036777920336749151581676968919803289,-3.302857604722998274837664212100207805633544921875
129,-0.00006612831151648828438773755792,0.036778800802981165806056249299703289,-3.30283366493290397869486696436069905757904052734375
130,-0.00006526590357052333329650883207,0.036779663210927130757147478025553289,-3.302810216701417278528651877422817051410675048828125
131,-0.00006442105152283116015201039206,0.036780508062974822930291976465563289,-3.30278724633489684237019901047460734844207763671875
132,-0.00006359327059142578405223806641,0.036781335843906228306391748791213289,-3.30276474062031777378933838917873799800872802734375
133,-0.00006278209285761729917531447684,0.036782147021640036791268672380783289,-3.3027426868049669650417854427359998226165771484375
134,-0.00006198706655997648185163763842,0.036782942047937677608592349219203289,-3.302721072577138983206168632023036479949951171875
135,-0.00006120775542279420652962245684,0.036783721359074859883914364400783289,-3.302699886047775645891988460789434611797332763671875
136,-0.00006044373801718285786528320677,0.036784485376480471232578703650853289,-3.3026791157330013248838440631516277790069580078125
137,-0.00005969460715286447403829764049,0.036785234507344789616405689217133289,-3.30265875053749624612464685924351215362548828125
138,-0.00005895996929907075589644417143,0.036785969145198583334547542686193289,-3.302638779738668706187354473513551056385040283203125
139,-0.00005823944403294031897993023803,0.036786689670464713771464056619593289,-3.302619192971580464046610359218902885913848876953125
140,-0.00005753266351386727965933226805,0.036787396450983786810784654589573289,-3.302599980214580011050884422729723155498504638671875
141,-0.00005683927198252142964035766090,0.036788089842515132660803629196723289,-3.302581131775614853296474393573589622974395751953125
142,-0.00005615892528310847759128018679,0.036788770189214545612852706670833289,-3.302562638279177509303963233833201229572296142578125
143,-0.00005549129040768515749947246338,0.036789437824089968932944514394243289,-3.30254449065385546902007263270206749439239501953125
144,-0.00005483604506137142929989326325,0.036790093069436282661144093594373289,-3.30252668012045358381101323175244033336639404296875
145,-0.00005419287724737723481915179549,0.036790736237250276855624835062133289,-3.3025091981806582452918519265949726104736328125
146,-0.00005356148487076259087309832714,0.036791367629626891499570888530483289,-3.302492036606214487193255990860052406787872314453125
147,-0.00005294157536000652958433524208,0.036791987539137647560859651615543289,-3.30247518742858847673460331861861050128936767578125
148,-0.00005233286530549126099193624769,0.036792596249192162829452050609933289,-3.30245864292909718784585493267513811588287353515625
149,-0.00005173508011394680624357107908,0.036793194034383707284200415778543289,-3.302442395629469285012191903661005198955535888671875
150,-0.00005114795367820708979174563132,0.036793781160819447000652241226303289,-3.3024264382828274477787999785505235195159912109375
151,-0.00005057122806130886574702294246,0.036794357886436345224696963915163289,-3.30241076386506460238479121471755206584930419921875
152,-0.00005000465319439458447899196663,0.036794924461303259505964994890993289,-3.30239536556659363242260951665230095386505126953125
153,-0.00004944798658762053515342209423,0.036795481127910033555290564763393289,-3.302380236784455913578995023272000253200531005859375
154,-0.00004890099305349430900431318922,0.036796028121444159781439673668403289,-3.3023653711147691325322739430703222751617431640625
155,-0.00004836344444200710920568436946,0.036796565670055646981238302488163289,-3.30235076234549485008074043435044586658477783203125
156,-0.00004783511938693845260441470908,0.036797093995110715637839572148543289,-3.302336404449516038539513829164206981658935546875
157,-0.00004731580306291477308650836357,0.036797613311434739317357478494053289,-3.302322291578005941659057498327456414699554443359375
158,-0.00004680528695256835501467177854,0.036798123827545085735429315079083289,-3.302308418054070937586175205069594085216522216796875
159,-0.0000463033686234208604914215501,0.036798625745874233229952565307523289,-3.30229477836666429624301599687896668910980224609375
160,-0.0000458098515139542841004956701,0.036799119262983699806343491187523289,-3.3022813671647472943959655822254717350006103515625
161,-0.0000453245447284849603202086404,0.036799604569769169130123778217223289,-3.30226817925169147116548629128374159336090087890625
162,-0.0000448472628403852949453838308,0.036800081851657268795498603026823289,-3.302255209579908257211400268715806305408477783203125
163,-0.0000443778257033355616524330795,0.036800551288794318528791553778123289,-3.302242453245702424879937098012305796146392822265625
164,-0.0000439160582701471989690101308,0.036801013056227506891474976726823289,-3.302229905484324934406004103948362171649932861328125
165,-0.0000434617904188348458519100858,0.036801467324078819244592076771823289,-3.302217561665231837508827084093354642391204833984375
166,-0.0000430148567856658408552248344,0.036801914257711988249588762023223289,-3.3022054172875261457420492661185562610626220703125
167,-0.0000425750966048018792121068380,0.036802354017892852211231880019623289,-3.3021934679755862163119672914035618305206298828125
168,-0.0000421423535542207960017794735,0.036802786760943433294442207384123289,-3.302181709474861559527880672249011695384979248046875
169,-0.0000417164756077365400884229324,0.036803212638889917550355563925223289,-3.302170137647837844241394122946076095104217529296875
170,-0.0000412973148927114153104096994,0.036803631799604942675133577158223289,-3.3021587484701537817954886122606694698333740234375
171,-0.0000408847275533185408618611237,0.036804044386944335549582125733923289,-3.302147538026874773464669488021172583103179931640625
172,-0.0000404785736190370122697184092,0.036804450540878617078174268448423289,-3.302136502508904225550168121117167174816131591796875
173,-0.0000400787168782021024735489314,0.036804850397619451987970437926223289,-3.30212563820953608484387586941011250019073486328125
174,-0.0000396850247563492702252362537,0.036805244089741304820218750603923289,-3.302114941521137492230764109990559518337249755859375
175,-0.0000392973681991612709978796126,0.036805631746298492819446107245023289,-3.302104408931957113537691839155741035938262939453125
176,-0.0000389156215598149191492286355,0.036806013492937839171294758222123289,-3.302094037023052930379662939230911433696746826171875
177,-0.0000385396624905459710646080655,0.036806389452007108119379378792123289,-3.3020838224653363823790641617961227893829345703125
178,-0.0000381693718382442188459437858,0.036806759742659409871598043071823289,-3.302073762016724867152106526191346347332000732421875
179,-0.0000378046335439182553287740177,0.036807124480953735835115212839923289,-3.302063852519401709884050433174706995487213134765625
180,-0.0000374453345458380501656966858,0.036807483779951816040278290171823289,-3.302054090897175608887437192606739699840545654296875
181,-0.0000370913646862362465602858443,0.036807837749811417843883701013323289,-3.30204447415293689260806786478497087955474853515625
182,-0.0000367426166214088369149115631,0.036808186497876245253529075294523289,-3.30203499936620659127584076486527919769287109375
183,-0.0000363989857350530499482570582,0.036808530128762601040495729799423289,-3.3020256636907756586651885299943387508392333984375
184,-0.0000360603700547396565742741475,0.036808868744442914433869712710123289,-3.302016464352426350359337448026053607463836669921875
185,-0.0000357266701713470410007527246,0.036809202444326307049443234133023289,-3.30200739864673753487522844807244837284088134765625
186,-0.0000353977891614086659461667139,0.036809531325336245424497820143723289,-3.30199846393696727631095200194977223873138427734375
187,-0.0000350736325121757627903820017,0.036809855481985478327653604855923289,-3.301989657652011800337277236394584178924560546875
188,-0.0000347541080493362171167300705,0.036810175006448317873327256787123289,-3.301980977284434626284337355173192918300628662109375
189,-0.0000344391258672608901740497653,0.036810489988630393200269937092323289,-3.3019724203885658653234713710844516754150390625
190,-0.0000341285982616823922231272641,0.036810800516235971698220859593523289,-3.301963984578667687941333497292362153530120849609375
191,-0.0000338224396647159555094542427,0.036811106674832938134934532614923289,-3.301955667527163740260220947675406932830810546875
192,-0.0000335205665821115197890710387,0.036811408547915542570654915818923289,-3.301947466962928512401731495629064738750457763671875
193,-0.0000332228975326713568819862512,0.036811706216964982733562000606423289,-3.301939380669639323429009891697205603122711181640625
194,-0.0000329293529897240790476474031,0.036811999761507930011396339454523289,-3.30193140648417671201286793802864849567413330078125
195,-0.0000326398553246032374684823955,0.036812289259173050852975504462123289,-3.30192354229509010821175252203829586505889892578125
196,-0.0000323543287520278500246501279,0.036812574785745626240419336729723289,-3.301915786041104805548229705891571938991546630859375
197,-0.0000320726992773139979645759035,0.036812856415220340092479410954123289,-3.301908135709687552861169024254195392131805419921875
198,-0.0000317948946453811678744185271,0.036813134219852272922569568330523289,-3.30190058933565477872207338805310428142547607421875
199,-0.0000315208442914146990021485301,0.036813408270206239391441838327523289,-3.30189314499982966566449249512515962123870849609375
200,-0.0000312504792931909871091990888,0.036813678635204463103334787768823289,-3.30188580082774318924521139706484973430633544921875
201,-0.0000309837323249961886769280963,0.036813945382172657901767058761323289,-3.3018785549883791219372142222709953784942626953125
202,-0.0000307205376129939055806691762,0.036814208576884660184863317681423289,-3.301871405692957228694695004378445446491241455078125
203,-0.0000304608308921154852036520780,0.036814468283605538605240334779623289,-3.301864351193760871439053516951389610767364501953125
204,-0.0000302045493643016132421475157,0.036814724565133352477201839341923289,-3.3018573897829970320572101627476513385772705078125
205,-0.0000299516316581429830613445966,0.036814977482839511107382642261023289,-3.3018505197916994120532763190567493438720703125
206,-0.0000297020177897753257171274467,0.036815227096707878764726859410923289,-3.301843739588661730266494487295858561992645263671875
207,-0.0000294556491250587496895313962,0.036815473465372595340754455461423289,-3.301837047579409212261225547990761697292327880859375
208,-0.0000292124683429456034844381596,0.036815716646154708486959548698023289,-3.301830442205198945515576269826851785182952880859375
209,-0.0000289724194000158029851499903,0.036815956695097638287458836867323289,-3.301823921942055761746814823709428310394287109375
210,-0.0000287354474961275630211326525,0.036816193667001526527422854205123289,-3.301817485299835652767797000706195831298828125
211,-0.0000285014990411555937561023444,0.036816427615456498496687884513223289,-3.3018111308213207166772917844355106353759765625
212,-0.0000282705216227815412741730743,0.036816658592874872549169813783323289,-3.3018048570813416375813176273368299007415771484375
213,-0.0000280424639752501119591588363,0.036816886650522403978484828021323289,-3.301798662685925922488650030572898685932159423828125
214,-0.0000278172759491348408867264518,0.036817111838548519249557260405823289,-3.301792546271478112629438328440301120281219482421875
215,-0.0000275949084820132540208274207,0.036817334206015640836423159436923289,-3.301786506503975981985377075034193694591522216796875
216,-0.0000273753135700437860211421611,0.036817553800927610304422844696523289,-3.301780542078201374778245735797099769115447998046875
217,-0.0000271584442404191349927375371,0.036817770670257234955451249320523289,-3.30177465171698703017000298132188618183135986328125
218,-0.0000269442545246638758792536762,0.036817984859972990214564733181423289,-3.301768834170491828672311385162174701690673828125
219,-0.0000267326994327218994342003069,0.036818196415064932191009786550723289,-3.301763088215493358035246274084784090518951416015625
220,-0.0000265237349278419261824575501,0.036818405379569812164261529307523289,-3.30175741265470445995333648170344531536102294921875
221,-0.0000263173179022131502370284461,0.036818611796595440940206958411523289,-3.301751806316111537142887755180709064006805419921875
222,-0.0000261134061533189624051808491,0.036818815708344335128038806008523289,-3.30174626805232929172007061424665153026580810546875
223,-0.0000259119583610109393680927843,0.036819017156136643151075894073323289,-3.3017407967399758916826613130979239940643310546875
224,-0.0000257129340652634525644078317,0.036819216180432390637879579025923289,-3.301735391279069897763065455364994704723358154296875
225,-0.0000255162936445556366350974656,0.036819412820853098453808889392023289,-3.301730050592439180690007560770027339458465576171875
226,-0.0000253219982949188904307574710,0.036819607116202735200013229386623289,-3.301724773625152042910713134915567934513092041015625
227,-0.0000251300100095897262547147613,0.036819799104488064364189272096323289,-3.30171955934396255116780594107694923877716064453125
228,-0.0000249402915592458294001419110,0.036819988822938408261043844946623289,-3.301714406736773188555389424436725676059722900390625
229,-0.0000247528064728254044512806643,0.036820176308024828685992706193323289,-3.301709314812112605608263038448058068752288818359375
230,-0.0000245675190188925180209437328,0.036820361595478761572423043124823289,-3.301704282598627582245853773201815783977508544921875
231,-0.0000243843941875472368808367997,0.036820544720310106853563150057923289,-3.301699309144592309195331836235709488391876220703125
232,-0.0000242033976728423639389680817,0.036820725716824811726505018775923289,-3.301694393517427439377343034720979630947113037109375
233,-0.0000240244958557147366495800081,0.036820904618641939353794406849523289,-3.30168953480323779103855486027896404266357421875
234,-0.0000238476557873775144174861050,0.036821081458710276576026500752623289,-3.301684732106358932668399575049988925457000732421875
235,-0.0000236728451732077715215791094,0.036821256269324446318922407748223289,-3.30167998454891975512737190001644194126129150390625
236,-0.0000235000323570861299194596059,0.036821429082140567960524527251723289,-3.30167529127041436964873355464078485965728759765625
237,-0.0000233291863061444284813852215,0.036821599928191509661962601636123289,-3.301670651427289104873352698632515966892242431640625
238,-0.0000231602765959784882156609897,0.036821768837901675602228325867923289,-3.30166606419253838566874037496745586395263671875
239,-0.0000229932733962545705926408895,0.036821935841101399519851345968123289,-3.301661528755315710981221855035983026027679443359375
240,-0.0000228281474567017944697990361,0.036822100967040952295974187821523289,-3.3016570443205477403125769342295825481414794921875
241,-0.0000226648700935005090921020817,0.036822264244404153581351884775923289,-3.301652610108568364211123480345122516155242919921875
242,-0.0000225034131760715774347177423,0.036822425701321582513009269115323289,-3.30164822535475810383331918274052441120147705078125
243,-0.0000223437491141695336371759812,0.036822585365383484556806810876423289,-3.301643889309190615932720902492292225360870361328125
244,-0.0000221858508453794515967888067,0.036822743263652274638847198050923289,-3.30163960123629518506049862480722367763519287109375
245,-0.0000220296918229357619669419084,0.036822899422674718328477044949223289,-3.301635360414523656658047912060283124446868896484375
246,-0.0000218752460038477453503678763,0.036823053868493806345093618981323289,-3.3016311661360280282906387583352625370025634765625
247,-0.0000217224878373803798205897186,0.036823206626660273710623397139023289,-3.301627017706346922665261445217765867710113525390625
248,-0.0000215713922538198324094514751,0.036823357722243834258034535382523289,-3.301622914444099610165039848652668297290802001953125
249,-0.0000214219346535485530359981304,0.036823507179844105537407988727223289,-3.301618855680689801346261447179131209850311279296875
250,-0.0000212740908964165786817847584,0.036823655023601237511762202099223289,-3.301614840760013436238295980729162693023681640625
251,-0.0000211278372913639796942746842,0.036823801277206290110749712173423289,-3.30161086903818112858743916149251163005828857421875
252,-0.0000209831505863574398573359383,0.036823945963911296650586650919323289,-3.301606939883239277833126834593713283538818359375
253,-0.0000208400079585759223505329479,0.036824089106539078168093453909723289,-3.30160305267490716829570374102331697940826416015625
254,-0.0000206983870048315613948608217,0.036824230727492822529049126035923289,-3.301599206804314068364192280569113790988922119140625
255,-0.0000205582657322800733775116582,0.036824370848765374017066475199423289,-3.30159540167374654373588782618753612041473388671875
256,-0.0000204196225493359284499359904,0.036824509491948318161994050867223289,-3.3015916366964024319941017893142998218536376953125
257,-0.0000202824362568385354219419387,0.036824646678240815555022044918923289,-3.30158791129615014625642288592644035816192626953125
258,-0.0000201466860394492832049310403,0.036824782428458204807239055817323289,-3.301584224907293307893496603355742990970611572265625
259,-0.0000200123514572711964266949383,0.036824916763040382894017291919323289,-3.30158057697434426103200166835449635982513427734375
260,-0.0000198794124376631189352007064,0.036825049702059990971508786151223289,-3.301576966951801583860515165724791586399078369140625
261,-0.0000197478492672929859651400070,0.036825181265230361104478846850623289,-3.30157339430393204082747615757398307323455810546875
262,-0.0000196176425843543981093675322,0.036825311471913299692334619325423289,-3.30156985850456141662334630382247269153594970703125
263,-0.0000194887733710237858184170894,0.036825440341126630304625569768223289,-3.301566359036866682430400032899342477321624755859375
